id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-07-02T01:15:20Z,KATL,2026-07-01,high,30,96.24,1.03,94.8,96.05,97.41,94.4,98.4
2,2026-07-02T01:15:20Z,KATL,2026-07-01,low,30,76.73,0.25,76.4,76.75,77.0,76.2,77.3
3,2026-07-02T01:15:20Z,KATL,2026-07-02,high,30,98.99,1.96,96.0,99.1,101.41,95.6,102.9
4,2026-07-02T01:15:20Z,KATL,2026-07-02,low,30,77.51,0.62,77.07,77.7,77.92,75.5,78.5
5,2026-07-02T01:15:20Z,KATL,2026-07-03,high,30,97.95,2.26,95.39,98.35,101.01,92.2,101.9
6,2026-07-02T01:15:20Z,KATL,2026-07-03,low,30,76.17,1.21,75.0,76.4,77.6,72.2,78.3
7,2026-07-02T01:15:20Z,KAUS,2026-07-01,high,30,97.93,1.75,95.95,98.05,99.87,94.6,101.6
8,2026-07-02T01:15:20Z,KAUS,2026-07-01,low,30,75.67,0.26,75.4,75.6,76.01,75.3,76.3
9,2026-07-02T01:15:20Z,KAUS,2026-07-02,high,30,99.4,3.03,95.29,100.25,103.02,92.8,103.9
10,2026-07-02T01:15:20Z,KAUS,2026-07-02,low,30,74.96,0.32,74.5,75.1,75.31,74.2,75.5
11,2026-07-02T01:15:20Z,KAUS,2026-07-03,high,30,99.84,2.89,96.49,101.0,102.53,91.9,103.5
12,2026-07-02T01:15:20Z,KAUS,2026-07-03,low,30,74.85,0.49,74.27,74.9,75.5,73.5,75.6
13,2026-07-02T01:15:20Z,KBOS,2026-07-01,high,30,92.11,0.98,90.89,92.35,93.31,90.0,93.4
14,2026-07-02T01:15:20Z,KBOS,2026-07-01,low,30,67.58,0.4,67.19,67.5,68.2,66.9,68.5
15,2026-07-02T01:15:20Z,KBOS,2026-07-02,high,30,99.95,1.25,98.6,100.1,101.71,96.9,102.6
16,2026-07-02T01:15:20Z,KBOS,2026-07-02,low,30,73.57,1.28,72.19,73.25,75.4,70.9,76.9
17,2026-07-02T01:15:20Z,KBOS,2026-07-03,high,30,98.02,1.71,95.67,98.5,99.95,93.4,100.6
18,2026-07-02T01:15:20Z,KBOS,2026-07-03,low,30,79.03,1.41,78.09,79.05,80.2,72.8,81.0
97,2026-07-02T01:15:20Z,KDCA,2026-07-01,high,30,98.75,1.29,96.9,98.7,100.31,95.2,101.3
98,2026-07-02T01:15:20Z,KDCA,2026-07-01,low,30,72.63,0.56,71.89,72.6,73.31,71.7,73.9
99,2026-07-02T01:15:20Z,KDCA,2026-07-02,high,30,103.94,1.09,102.3,104.1,105.21,101.5,105.9
