id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-06-09T00:02:19Z,KATL,2026-06-08,high,30,76.44,1.79,74.48,76.25,79.01,74.1,80.3
2,2026-06-09T00:02:19Z,KATL,2026-06-08,low,30,69.15,0.34,68.7,69.1,69.61,68.6,69.9
3,2026-06-09T00:02:19Z,KATL,2026-06-09,high,30,79.8,5.76,72.04,80.55,87.31,70.3,90.6
4,2026-06-09T00:02:19Z,KATL,2026-06-09,low,30,69.21,0.63,68.67,69.2,70.0,67.7,70.1
5,2026-06-09T00:02:19Z,KATL,2026-06-10,high,30,88.46,1.89,86.25,88.5,90.71,82.6,91.1
6,2026-06-09T00:02:19Z,KATL,2026-06-10,low,30,68.12,1.5,65.99,68.0,69.96,65.8,71.1
7,2026-06-09T00:02:19Z,KAUS,2026-06-08,high,30,88.8,1.19,87.47,88.7,90.4,85.1,90.8
8,2026-06-09T00:02:19Z,KAUS,2026-06-08,low,30,76.52,0.38,75.99,76.5,76.91,75.7,77.3
9,2026-06-09T00:02:19Z,KAUS,2026-06-09,high,30,93.69,1.6,91.58,93.8,95.81,89.9,96.8
10,2026-06-09T00:02:19Z,KAUS,2026-06-09,low,30,74.58,0.39,74.08,74.55,75.1,73.7,75.2
11,2026-06-09T00:02:19Z,KAUS,2026-06-10,high,30,92.22,2.34,89.9,92.15,95.74,86.4,97.1
12,2026-06-09T00:02:19Z,KAUS,2026-06-10,low,30,74.95,0.47,74.4,75.0,75.4,73.7,76.1
13,2026-06-09T00:02:19Z,KBOS,2026-06-08,high,30,76.76,1.48,74.59,77.05,78.4,73.0,79.4
14,2026-06-09T00:02:19Z,KBOS,2026-06-08,low,30,57.64,0.39,57.19,57.6,58.12,56.9,58.8
15,2026-06-09T00:02:19Z,KBOS,2026-06-09,high,30,83.36,2.52,80.57,83.1,86.61,77.6,86.9
16,2026-06-09T00:02:19Z,KBOS,2026-06-09,low,30,60.86,1.26,59.27,60.8,62.52,58.3,63.0
17,2026-06-09T00:02:19Z,KBOS,2026-06-10,high,30,80.75,5.29,73.15,82.3,86.21,67.6,87.1
18,2026-06-09T00:02:19Z,KBOS,2026-06-10,low,30,63.2,1.65,61.18,62.95,65.5,59.6,66.4
103,2026-06-09T00:02:19Z,KDCA,2026-06-08,high,30,76.94,1.67,75.19,76.65,79.4,74.6,80.6
104,2026-06-09T00:02:19Z,KDCA,2026-06-08,low,30,62.13,1.1,60.28,62.4,63.42,59.8,63.8
